itr,Methods,Total delivery,Total CP,Total EV,delivery2ev_ratio,Elapsed time (ms),Total reward,Total cost,Objective val,Total successful delivery,Avg. cost per successful delivery
1,CSA,20,20,4,5.0,2.4254322052001953,221,40.58,180.42000000000002,17,2.3870588235294115
1,NDF,20,20,4,5.0,0.37407875061035156,225.0,41.4792,183.5208,18,2.3044
1,EDF,20,20,4,5.0,0.35953521728515625,210.0,53.7021,156.2979,17,3.1589470588235296
1,Baseline,20,20,4,5.0,780.0,253.0,33.5332875,219.4667125,20,1.676664375
2,CSA,20,20,4,5.0,2.1975040435791016,261,45.809999999999995,215.19,18,2.545
2,NDF,20,20,4,5.0,0.3879070281982422,217.0,51.7113,165.2887,14,3.6936642857142856
2,EDF,20,20,4,5.0,0.39649009704589844,261.0,70.6759,190.3241,18,3.926438888888889
2,Baseline,20,20,4,5.0,280.0,283.0,45.29873,237.70127,20,2.2649365
3,CSA,20,20,4,5.0,2.554655075073242,265,55.77,209.23,20,2.7885
3,NDF,20,20,4,5.0,0.39005279541015625,216.0,55.08690000000001,160.9131,17,3.240405882352942
3,EDF,20,20,4,5.0,0.3502368927001953,249.0,65.4494,183.5506,19,3.4447052631578945
3,Baseline,20,20,4,5.0,700.0,265.0,37.783905000000004,227.216095,20,1.8891952500000002
4,CSA,20,20,4,5.0,2.035856246948242,229,45.31999999999999,183.68,18,2.5177777777777774
4,NDF,20,20,4,5.0,0.3871917724609375,170.0,47.9623,122.0377,14,3.4258785714285716
4,EDF,20,20,4,5.0,0.3516674041748047,220.0,47.3883,172.61169999999998,18,2.6326833333333335
4,Baseline_failed,20,20,4,5.0,,,,FAILED,,
5,CSA,20,20,4,5.0,1.9602775573730469,252,40.849999999999994,211.15,18,2.269444444444444
5,NDF,20,20,4,5.0,0.37741661071777344,211.0,50.627900000000004,160.3721,15,3.3751933333333337
5,EDF,20,20,4,5.0,0.3459453582763672,222.0,52.671400000000006,169.3286,16,3.2919625000000003
5,Baseline,20,20,4,5.0,400.0,270.0,39.141135,230.858865,20,1.95705675
6,CSA,20,20,4,5.0,2.320528030395508,175,47.81,127.19,14,3.415
6,NDF,20,20,4,5.0,0.4029273986816406,194.0,36.436,157.564,15,2.4290666666666665
6,EDF,20,20,4,5.0,0.36025047302246094,224.0,58.0844,165.91559999999998,17,3.416729411764706
6,Baseline,20,20,4,5.0,150.0,257.0,37.701525000000004,219.298475,20,1.8850762500000002
7,CSA,20,20,4,5.0,1.9488334655761719,276,38.63,237.37,18,2.1461111111111113
7,NDF,20,20,4,5.0,0.39076805114746094,226.0,58.0403,167.9597,15,3.8693533333333336
7,EDF,20,20,4,5.0,0.3476142883300781,255.0,67.30019999999999,187.6998,17,3.9588352941176463
7,Baseline,20,20,4,5.0,780.0,306.0,42.0079675,263.9920325,20,2.100398375
8,CSA,20,20,4,5.0,2.0389556884765625,206,46.629999999999995,159.37,16,2.9143749999999997
8,NDF,20,20,4,5.0,0.4165172576904297,204.0,46.5416,157.45839999999998,15,3.1027733333333334
8,EDF,20,20,4,5.0,0.3674030303955078,221.0,60.104000000000006,160.896,17,3.5355294117647063
8,Baseline,20,20,4,5.0,120.0,254.0,36.8419,217.1581,20,1.842095
9,CSA,20,20,4,5.0,2.083301544189453,208,46.330000000000005,161.67,17,2.725294117647059
9,NDF,20,20,4,5.0,0.3833770751953125,215.0,53.808099999999996,161.1919,16,3.3630062499999998
9,EDF,20,20,4,5.0,0.3540515899658203,171.0,58.89,112.11,15,3.926
9,Baseline,20,20,4,5.0,470.0,257.0,40.879349999999995,216.12065,20,2.0439675
10,CSA,20,20,4,5.0,1.9962787628173828,192,44.24,147.76,16,2.765
10,NDF,20,20,4,5.0,0.37932395935058594,135.0,36.5975,98.4025,11,3.327045454545454
10,EDF,20,20,4,5.0,0.3504753112792969,178.0,58.8603,119.1397,15,3.92402
10,Baseline,20,20,4,5.0,770.0,242.0,47.2548925,194.74510750000002,20,2.362744625
11,CSA,20,20,4,5.0,1.9335746765136719,221,39.8,181.2,18,2.211111111111111
11,NDF,20,20,4,5.0,0.3879070281982422,197.0,56.899,140.101,16,3.5561875
11,EDF,20,20,4,5.0,0.3504753112792969,227.0,45.2868,181.7132,18,2.5159333333333334
11,Baseline,20,20,4,5.0,180.0,246.0,40.0930725,205.9069275,20,2.004653625
12,CSA,20,20,4,5.0,1.93023681640625,231,42.77,188.23,17,2.5158823529411767
12,NDF,20,20,4,5.0,0.3764629364013672,192.0,56.767,135.233,14,4.054785714285715
12,EDF,20,20,4,5.0,0.3418922424316406,242.0,70.2914,171.7086,17,4.134788235294117
12,Baseline,20,20,4,5.0,1460.0,264.0,39.864925,224.135075,20,1.9932462499999999
13,CSA,20,20,4,5.0,1.9559860229492188,206,45.46000000000001,160.54,17,2.674117647058824
13,NDF,20,20,4,5.0,0.3859996795654297,182.0,51.056000000000004,130.944,15,3.4037333333333337
13,EDF,20,20,4,5.0,0.35572052001953125,227.0,64.50399999999999,162.496,18,3.583555555555555
13,Baseline,20,20,4,5.0,910.0,254.0,38.289545,215.710455,20,1.9144772499999998
14,CSA,20,20,4,5.0,1.9207000732421875,179,53.32,125.68,15,3.554666666666667
14,NDF,20,20,4,5.0,0.40268898010253906,178.0,65.7672,112.2328,14,4.697657142857143
14,EDF,20,20,4,5.0,0.3724098205566406,223.0,74.9808,148.0192,17,4.410635294117647
14,Baseline,20,20,4,5.0,540.0,248.0,39.631565,208.368435,18,2.201753611111111
15,CSA,20,20,4,5.0,1.9025802612304688,273,52.36,220.64,19,2.7557894736842106
15,NDF,20,20,4,5.0,0.38313865661621094,245.0,59.206500000000005,185.7935,17,3.4827352941176475
15,EDF,20,20,4,5.0,0.35119056701660156,265.0,67.2563,197.7437,19,3.5398052631578945
15,Baseline,20,20,4,5.0,650.0,284.0,42.00476,241.99524,20,2.100238
